Turkiet;0;3;Italien;
Wales;1;1;Schweiz;
Turkiet;0;2;Wales;
Italien;3;0;Schweiz;
Italien;1;0;Wales;
Turkiet;1;3;Schweiz;

Denmark;0;1;Finland;
Belgien;3;0;Ryssland;
Finland;0;1;Ryssland;
Denmark;1;2;Belgien;
Finland;0;2;Belgien;
Denmark;4;1;Ryssland;

Österrike;3;1;Nordmakedonien;
Nederländerna;3;2;Ukraina;
Nederländerna;2;0;Österrike;
Ukraina;2;1;Nordmakedonien;
Österrike;1;0;Ukraina;
Nederländerna;3;0;Nordmakedonien;

England;1;0;Kroatien;
Skottland;0;2;Tjeckien;
Kroatien;1;1;Tjeckien;
Skottland;1;1;England;
Kroatien;3;1;Skottland;
England;1;0;Tjeckien;

Spanien;0;0;Sverige;
Polen;1;2;Slovakien;
Sverige;1;0;Slovakien;
Spanien;1;1;Polen;
Sverige;3;2;Polen;
Spanien;5;0;Slovakien;

Ungern;0;3;Portugal;
Frankrike;1;0;Tyskland;
Ungern;1;1;Frankrike;
Portugal;2;4;Tyskland;
Ungern;2;2;Tyskland;
Frankrike;2;2;Portugal;
